airport,total_flights,on_time_pct,cancellation_rate_pct,avg_delay,total_delay_minutes
ORD,675475,74.91,1.54,20.21,13404230.0
DFW,632242,72.13,2.31,21.58,13290707.0
ATL,691650,78.22,1.24,15.58,10612927.0
DEN,631000,75.75,0.96,16.95,10564087.0
CLT,495070,75.61,1.47,18.43,8965927.0
IAH,338364,77.85,1.8,18.32,6068306.0
MCO,319615,75.53,1.43,18.93,5948752.0
LGA,329043,77.74,2.77,18.35,5854145.0
DCA,290573,76.31,2.8,19.4,5467738.0
EWR,275456,76.11,2.67,20.0,5348168.0
LAS,376966,78.63,0.83,14.31,5332717.0
LAX,392777,81.78,0.77,13.4,5208559.0
PHX,392526,80.61,0.67,13.19,5128030.0
BOS,289027,77.76,1.56,16.98,4818178.0
PHL,246722,76.87,1.75,19.49,4709930.0
MIA,221867,73.07,1.49,21.17,4612270.0
SEA,369636,78.85,0.95,12.31,4494710.0
DTW,275153,79.37,1.08,16.07,4364688.0
JFK,248450,77.25,2.12,17.89,4339465.0
SFO,284950,78.92,1.06,15.22,4277791.0
MSP,257137,80.23,0.88,14.61,3713490.0
FLL,179488,74.61,1.44,19.34,3411092.0
BNA,209225,79.04,1.3,15.51,3194675.0
BWI,195106,76.37,1.24,15.85,3046780.0
SAN,194909,77.13,1.23,15.75,3023447.0
IAD,174208,79.71,1.32,17.46,2994786.0
AUS,173982,77.99,0.99,17.12,2941755.0
TPA,157976,77.76,1.87,17.77,2747768.0
SLC,230185,83.42,0.57,11.85,2705332.0
RDU,125150,79.01,1.69,17.51,2149740.0
MDW,153946,77.71,1.13,13.93,2115065.0
DAL,144040,76.56,1.28,14.88,2111918.0
STL,137440,79.56,1.23,15.04,2036760.0
MSY,101894,78.59,1.62,17.05,1704426.0
PDX,147174,83.42,0.93,10.85,1578245.0
MCI,103338,80.91,1.41,14.8,1504066.0
HOU,112313,79.36,1.2,13.36,1479567.0
CVG,87388,79.67,1.6,17.11,1466929.0
IND,100193,81.63,1.5,14.49,1426734.0
CLE,88481,80.56,1.82,16.13,1398359.0
SJU,71137,76.63,1.07,19.58,1371081.0
PIT,92247,81.41,1.47,14.65,1329552.0
CMH,90992,81.25,1.35,14.63,1310379.0
SMF,115766,83.23,0.68,11.14,1278229.0
SNA,90151,81.96,1.01,14.21,1264623.0
PBI,60525,75.9,1.64,21.27,1261555.0
RSW,70182,78.93,1.8,18.09,1243109.0
SAT,84868,82.14,1.21,14.56,1217787.0
JAX,61600,80.06,1.68,17.64,1065979.0
HNL,120421,86.11,0.87,8.62,1027279.0
MKE,61512,80.43,1.53,16.7,1009559.0
SJC,99151,84.54,0.66,9.73,957088.0
CHS,53734,80.34,1.97,17.13,900129.0
SDF,53307,81.18,1.55,16.45,861110.0
BUF,50585,79.81,2.26,17.23,850172.0
MEM,50650,80.76,1.62,16.36,812971.0
OMA,50119,81.21,1.33,15.56,767913.0
OAK,78334,83.06,0.67,9.83,763789.0
OKC,50001,81.04,1.26,15.42,759184.0
BUR,62172,82.27,1.26,12.35,756475.0
ABQ,51630,83.14,0.89,12.87,656964.0
ONT,53463,83.85,0.91,12.2,645077.0
BOI,56092,83.69,0.53,11.19,623281.0
OGG,52048,86.96,0.95,8.4,432467.0
