route,total_flights,on_time_pct,avg_delay,total_delay_minutes
ORD → LGA,22513,73.37,23.31,509805.0
LGA → ORD,22518,74.97,23.09,505798.0
LAX → SFO,23464,70.3,18.62,432832.0
ATL → MCO,17078,70.47,22.46,377164.0
SFO → LAX,23450,76.87,15.78,366878.0
MCO → ATL,17107,73.86,21.6,364187.0
IAH → DFW,13574,72.33,27.32,358690.0
DCA → BOS,18789,76.68,19.45,356194.0
LAX → JFK,20180,81.77,17.39,346622.0
MCO → EWR,13150,72.64,25.71,328177.0
LAX → LAS,20362,76.37,16.24,327672.0
BOS → DCA,18789,77.7,17.62,322362.0
DFW → IAH,13568,71.22,24.6,322105.0
ORD → EWR,12098,69.89,26.58,313137.0
ATL → EWR,12156,69.7,26.37,311581.0
ORD → DFW,13236,72.4,24.06,310808.0
ORD → BOS,14227,72.83,21.98,307815.0
MIA → ATL,12941,71.48,24.01,306026.0
DEN → PHX,18602,75.52,16.62,305766.0
ATL → DFW,13166,71.41,23.66,303392.0
JFK → LAX,20183,81.14,15.14,303015.0
LGA → DFW,13435,73.68,23.34,302590.0
LAX → DFW,13599,76.4,22.46,299484.0
FLL → ATL,14251,72.54,21.27,298191.0
ORD → DCA,12912,72.33,23.44,294818.0
LAS → LAX,20339,78.15,14.51,292586.0
DFW → ORD,13255,72.12,22.49,291566.0
ATL → MIA,12944,71.71,22.75,289911.0
DFW → DEN,12377,70.48,24.0,289620.0
SAN → SFO,13499,66.1,21.64,287467.0
ATL → LGA,15857,76.0,18.37,284816.0
LGA → ATL,15851,78.24,18.12,281366.0
EWR → ATL,12157,73.14,23.73,281166.0
CLT → LGA,12014,70.76,24.14,280784.0
DEN → DFW,12381,73.6,22.97,277659.0
PHX → DEN,18710,78.64,14.96,276457.0
DFW → LGA,13438,72.8,21.31,276239.0
AUS → DFW,9731,74.6,29.24,276173.0
ATL → FLL,14253,72.46,19.49,273546.0
DFW → ATL,13161,74.27,21.08,271286.0
DFW → LAS,11772,68.81,23.37,268968.0
DFW → LAX,13598,72.07,20.06,268732.0
LGA → MIA,11748,73.88,23.43,268179.0
BOS → ORD,14222,76.97,19.12,267268.0
DEN → LAS,15425,73.78,17.42,266306.0
DEN → ORD,12732,73.67,21.16,265790.0
ATL → DCA,13740,73.31,19.83,265553.0
ORD → MSP,12378,72.4,21.7,265136.0
LAS → SAN,14167,69.41,18.94,264984.0
EWR → ORD,12094,72.13,22.44,264492.0
SLC → DEN,15845,76.73,16.59,260578.0
EWR → MCO,13142,75.71,20.33,259706.0
DFW → MCO,9786,65.61,27.08,257857.0
SAN → LAS,14109,74.01,18.41,255804.0
DEN → SLC,15860,76.36,16.18,254852.0
MIA → LGA,11726,71.37,22.25,252835.0
PHL → MCO,11006,72.41,23.27,250683.0
LAS → DEN,15467,76.84,16.4,250588.0
MCO → PHL,10998,73.05,23.16,250003.0
LAS → SFO,12123,67.04,20.82,249216.0
SEA → SFO,13618,70.35,18.44,248247.0
MIA → JFK,10505,72.11,24.09,247802.0
ATL → TPA,12863,72.82,19.58,247087.0
ORD → LAX,13738,76.72,18.16,246149.0
MSP → ORD,12377,74.71,20.04,244590.0
DFW → SAT,9051,66.27,27.75,243517.0
LAS → DFW,11772,78.24,21.26,243416.0
LGA → BOS,14802,78.89,16.94,243222.0
SFO → SAN,13475,70.87,18.17,240959.0
DCA → ORD,12919,78.77,19.02,240307.0
ORD → ATL,11858,75.7,20.56,239494.0
ATL → ORD,11857,74.94,20.54,239167.0
MCO → DFW,9779,71.35,25.06,238504.0
DFW → PHX,10332,69.77,23.36,236912.0
ORD → DEN,12756,76.64,18.73,235351.0
DFW → MIA,9829,68.66,24.42,234788.0
FLL → EWR,10087,72.66,23.72,232736.0
DCA → ATL,13741,79.66,17.27,231664.0
ORD → MKE,8792,70.56,26.91,231459.0
DEN → SFO,11084,68.14,21.03,231043.0
ORD → PHL,9082,71.5,25.88,231010.0
MCO → DCA,9675,72.44,24.36,230358.0
LGA → CLT,12010,79.34,19.7,229632.0
ATL → PHL,11460,73.83,20.36,229456.0
MIA → DFW,9818,70.49,23.78,227841.0
DEN → LAX,15579,78.87,14.68,226706.0
EWR → LAX,10784,74.43,21.46,226580.0
LGA → MCO,10217,73.07,22.75,226319.0
TPA → ATL,12827,77.2,17.9,225237.0
DFW → AUS,9736,69.82,23.79,225128.0
MCO → ORD,10791,74.97,21.19,224677.0
CLT → MCO,10247,71.31,22.31,224506.0
JFK → BOS,11141,74.95,20.61,223568.0
LAX → ORD,13730,80.96,16.54,223312.0
SFO → LAS,12126,73.4,18.57,222387.0
JFK → SFO,13159,77.46,17.04,221639.0
DTW → ORD,11661,77.93,19.34,221630.0
IAH → ORD,11149,76.39,20.2,221338.0
SAT → DFW,9049,73.81,24.99,218850.0
ORD → DTW,11670,77.2,19.04,218507.0
DEN → SEA,13122,73.86,16.74,217707.0
MCO → JFK,9580,73.66,23.02,215875.0
SFO → JFK,13161,81.01,16.56,214537.0
JFK → MIA,10507,74.74,20.82,213895.0
BOS → LGA,14803,81.66,14.93,213857.0
SJU → MCO,12484,79.25,17.01,209733.0
MCO → LGA,10215,74.0,20.96,208360.0
EWR → FLL,10095,74.42,21.2,208122.0
RDU → LGA,8582,73.75,25.17,208025.0
DFW → SFO,8115,64.83,26.05,207575.0
BOS → MCO,9529,71.82,22.28,207533.0
MKE → ORD,8791,73.9,23.94,206104.0
ORD → SFO,10320,72.08,20.17,205250.0
ORD → PHX,11514,78.4,17.87,203180.0
CLT → EWR,7570,68.18,27.69,202758.0
DFW → SEA,10298,70.28,20.07,202590.0
JFK → MCO,9583,72.1,21.61,202575.0
EWR → SFO,8420,72.2,24.59,202545.0
MCO → SJU,12490,76.69,16.31,201796.0
BNA → ORD,9629,76.53,21.3,201323.0
SFO → SEA,13617,75.02,14.92,200375.0
MIA → EWR,8264,71.24,24.72,198298.0
ATL → BWI,11769,75.46,17.12,198158.0
PHL → ATL,11454,77.57,17.53,197254.0
DFW → BOS,7945,69.14,25.16,196038.0
PHX → LAS,13425,77.93,14.72,195969.0
PHL → ORD,9081,76.33,21.94,195376.0
ORD → MCO,10811,76.95,18.34,194750.0
LAX → DEN,15515,82.43,12.68,194500.0
DCA → MCO,9674,76.7,20.54,194314.0
SEA → ANC,14470,73.65,13.57,194306.0
SAN → PHX,11476,77.46,17.18,194193.0
BOS → PHL,10388,78.48,19.02,193851.0
PHL → BOS,10383,75.74,19.02,193763.0
DEN → COS,10493,75.4,18.74,193390.0
LAS → PHX,13428,79.54,14.53,193324.0
MCO → BOS,9528,74.09,20.58,192568.0
ORD → IAH,11155,75.97,17.52,192066.0
SEA → DEN,13128,77.23,14.83,192024.0
LGA → FLL,8823,73.31,22.28,191412.0
BNA → DFW,7079,72.05,27.83,190046.0
BWI → MCO,10284,75.83,18.9,190034.0
LAX → PHX,14804,81.28,12.91,189868.0
ORD → BNA,9651,75.01,19.94,189222.0
IAH → ATL,10216,76.83,18.85,188950.0
PBI → EWR,6929,71.95,28.03,188299.0
ATL → IAH,10206,75.36,18.71,186863.0
SEA → DFW,10301,75.11,18.57,186814.0
PHX → SFO,9617,71.09,19.57,186700.0
ATL → DEN,11648,76.0,16.19,186137.0
MCO → CLT,10246,77.38,18.48,185960.0
ORD → STL,8798,76.23,21.41,185208.0
LGA → IAH,8862,77.78,21.38,184189.0
STL → ORD,8792,77.19,21.24,183892.0
DEN → MSP,12173,76.9,15.2,183674.0
DFW → SLC,7860,70.89,23.72,183093.0
DFW → EWR,7011,70.63,26.76,181474.0
MIA → MCO,7675,71.43,23.99,181036.0
COS → DEN,10493,78.39,17.51,180718.0
ORD → CLT,8755,76.3,20.87,180310.0
EWR → BOS,8091,71.9,23.04,180071.0
SEA → PHX,14616,79.2,12.41,179870.0
BOS → JFK,11110,77.96,16.6,179524.0
SFO → PHX,9613,76.31,18.81,179327.0
BWI → ATL,11686,78.78,15.59,179165.0
ORD → SEA,10396,74.21,17.39,178615.0
SFO → DFW,8120,74.66,22.49,178297.0
DFW → BNA,7077,66.94,26.01,178242.0
SFO → DEN,11079,76.35,16.13,176908.0
LAX → EWR,10785,80.07,16.81,176848.0
CLT → ORD,8762,73.67,20.47,176704.0
SFO → EWR,8420,75.09,21.48,176695.0
IAH → LGA,8858,75.04,20.46,175977.0
MSP → DEN,12169,78.77,14.58,175688.0
DCA → LGA,8972,74.51,20.37,175466.0
LAS → ORD,10599,79.44,16.77,174930.0
CLT → PHL,7630,70.95,23.4,174872.0
MIA → BOS,7511,70.28,23.67,174672.0
CLT → BOS,9478,73.94,18.68,174271.0
LGA → DEN,9179,76.31,19.43,174268.0
GRR → ORD,7828,74.45,22.55,173317.0
DEN → ATL,11659,77.96,15.01,173148.0
LAX → ATL,10599,77.64,16.4,171876.0
SNA → SFO,9215,72.04,18.98,171832.0
ATL → LAX,10621,76.49,16.3,171249.0
PHX → DFW,10330,79.43,16.91,171175.0
ORD → LAS,10590,77.46,16.31,170542.0
DEN → SAN,11071,74.55,15.62,170475.0
PHX → SAN,11481,76.52,14.99,170148.0
SLC → DFW,7857,75.99,22.16,170129.0
BOS → LAX,9211,79.12,18.54,169876.0
MSY → DFW,5949,70.29,29.52,169823.0
DFW → CLT,8130,71.67,21.25,169585.0
FLL → LGA,8820,73.84,19.65,169198.0
ATL → BOS,10019,75.84,17.08,169163.0
SEA → LAS,12562,76.8,13.56,168709.0
CMH → ORD,8507,76.82,20.03,168441.0
EWR → MIA,8268,74.74,20.91,168116.0
DFW → SAN,6962,65.49,24.84,168072.0
PHX → ORD,11505,80.23,14.81,167727.0
CLT → ATL,10248,78.89,16.59,167659.0
ATL → JFK,7839,74.72,21.71,167576.0
FLL → JFK,7766,74.1,22.08,167075.0
SAN → DEN,11116,77.24,15.25,167053.0
LAS → SEA,12565,79.08,13.39,166564.0
ORD → CLE,8519,74.78,19.9,166222.0
SEA → ORD,10390,76.06,16.24,166191.0
CVG → ORD,7951,75.93,21.24,165876.0
DEN → LGA,9179,74.17,18.43,165177.0
SAN → DFW,6957,75.04,24.42,164966.0
DCA → EWR,6386,74.75,27.36,164515.0
PHX → SEA,14607,81.36,11.33,164264.0
EWR → CLT,7573,76.52,22.2,163712.0
PHL → CLT,7630,76.81,21.86,163664.0
IAH → EWR,7494,73.18,22.31,163057.0
JFK → SJU,7713,71.65,21.37,162836.0
DEN → MCO,9399,76.26,17.59,162440.0
IAH → MIA,7116,74.56,23.39,162372.0
MIA → IAH,7122,72.62,23.3,162192.0
DEN → IAH,9612,75.45,17.07,161987.0
BNA → CLT,7448,73.52,22.09,161696.0
BOS → DFW,7948,75.72,20.84,161429.0
ATL → CLT,10263,79.65,15.94,161326.0
MIA → ORD,8672,74.77,18.84,160768.0
MSN → ORD,7546,74.91,21.59,159594.0
BOS → EWR,8090,75.76,20.44,159157.0
DCA → MIA,7959,76.56,20.45,158789.0
DEN → BOS,7724,71.28,20.75,158732.0
SFO → ORD,10321,79.49,15.59,158394.0
